x;y;sp;ref;obs
-48.808;-25.383;Anoura caudifer;Muylaert et al.;2017
-48.716667;-25.75;Anoura caudifer;Muylaert et al.;2017
-49.08;-27.06;Anoura caudifer;Muylaert et al.;2017
-49.185358;-27.109626;Anoura caudifer;Muylaert et al.;2017
-49.25528;-28.48361;Anoura caudifer;Muylaert et al.;2017
-49.525556;-28.489444;Anoura caudifer;UNESC;-
-48.794167;-26.471667;Anoura caudifer;UNESC;-
-49.432222;-28.69;Anoura caudifer;UNESC;-
-48.788333;-26.099167;Anoura caudifer;UNESC;-
-49.444167;-26.591944;Anoura caudifer;UNESC;-
-49.928611;-28.788333;Anoura caudifer;UNESC;-
-49.266667;-28.533333;Anoura caudifer;UNESC;-
-48.9795;-27.437029;Anoura caudifer;FURB;-
-49.1287395;-27.9041185;Anoura caudifer;FURB;-
-48.66960526;-27.49944032;Anoura caudifer;FURB;-
-49.09315;-27.052057;Anoura caudifer;FURB;-
-49.485014;-26.713041;Anoura caudifer;FURB;-
-48.50532532;-27.61540601;Anoura caudifer;FURB;-
-48.8545202;-26.0294904;Anoura caudifer;FURB;-
-49.0294468;-26.8652381;Anoura caudifer;FURB;-
-48.93949986;-26.88020099;Anoura caudifer;FURB;-
-48.9566824;-26.9307306;Anoura caudifer;FURB;-
-48.551539;-27.316626;Anoura caudifer;FURB;-
-49.002628;-26.468753;Anoura caudifer;FURB;-
-48.2983017;-25.29002539;Anoura caudifer;FURB;-
-49.520352;-27.133467;Anoura caudifer;FURB;-
-49.2318821;-26.93140602;Anoura caudifer;FURB;-
-49.963;-26.493;Anoura caudifer;FURB;-
-49.5306;-27.1353;Anoura caudifer;FURB;-
-48.9967;-26.7644;Anoura caudifer;FURB;-
-49.5167;-28.6167;Anoura caudifer;FURB;-
-48.675;-26.7561;Anoura caudifer;FURB;-
-48.5528;-27.1581;Anoura caudifer;FURB;-
-49.7;-29.1361;Anoura caudifer;FURB;-
-48.808186;-27.730043;Anoura caudifer;FURB;-
-49.2832;-26.2563;Anoura caudifer;FURB;-
-48.530879;-26.26817;Anoura caudifer;FURB;-
-49.55376;-28.607792;Anoura caudifer;FURB;-
-49.8472;-28.8303;Anoura caudifer;B?lla et al.;2017
-49.5;-28.65;Anoura caudifer;B?lla et al.;2017
-49.4333;-28.5833;Anoura caudifer;B?lla et al.;2017
-49.4575;-28.5156;Anoura caudifer;B?lla et al.;2017
-49.3167;-28.5167;Anoura caudifer;B?lla et al.;2017
-49.185;-28.4358;Anoura caudifer;Carvalho et al.;2013
-48.75;-25.216667;Anoura caudifer;Miretzki;2003
-48.916667;-25.433333;Anoura caudifer;Miretzki;2003
-48.516667;-25.65;Anoura caudifer;Miretzki;2003
-48.833333;-25.466667;Anoura caudifer;Miretzki;2003
-49.863794;-29.367134;Anoura caudifer;Noronha;2016
-49.937757;-29.210591;Anoura caudifer;Noronha;2016
-50.214467;-29.650516;Anoura caudifer;Noronha;2016
-50.261588;-29.89222;Anoura caudifer;Noronha;2016
-50.52658;-29.826862;Anoura caudifer;Noronha;2016
-49.832478;-29.301122;Anoura caudifer;Noronha;2016
-48.552777;-25.582322;Anoura caudifer;Gon?alves et al;2018
-48.785556;-26.111944;Anoura caudifer;Gon?alves et al;2018
-48.670556;-26.2775;Anoura caudifer;Gon?alves et al;2018
-48.895278;-26.486944;Anoura caudifer;Gon?alves et al;2018
-48.686667;-26.843333;Anoura caudifer;Gon?alves et al;2018
-48.541389;-27.300556;Anoura caudifer;Gon?alves et al;2018
-49.3;-28.533333;Anoura caudifer;Gon?alves et al;2018
-49.395;-28.594167;Anoura caudifer;Gon?alves et al;2018
-49.411389;-28.713889;Anoura caudifer;Gon?alves et al;2018
-49.757778;-28.828333;Anoura caudifer;Gon?alves et al;2018
-50.046389;-29.202222;Anoura caudifer;Gon?alves et al;2018
-48.91667;-25.75;Anoura caudifer;GBIF;https://doi.org/10.15468/dl.jsp88q
-48.640786;-26.082798;Anoura caudifer;Sipinski e Reis;1995
-49.07266;-26.921735;Anoura caudifer;Gruener et al;2012
-49.149167;-27.05;Anoura caudifer;Althoff;2007
-49.111944;-27.059167;Anoura caudifer;Althoff;2007
-49.104868;-26.88503;Anoura caudifer;Cherem et al.;2004
-48.537919;-27.595594;Anoura caudifer;Cherem et al.;2004
-48.840653;-26.301041;Anoura caudifer;Cherem et al.;2004
-49.49884;-28.63749;Anoura caudifer;Cherem et al.;2004
-48.542233;-27.154636;Anoura caudifer;Cherem et al.;2004
-49.720348;-29.135455;Anoura caudifer;Cherem et al.;2004
-49.425789;-28.599817;Anoura caudifer;Cherem et al.;2004
-48.787897;-26.838218;Anoura caudifer;FURB;-
-49.177389;-26.871494;Anoura caudifer;FURB;-
-48.798359;-26.848146;Anoura caudifer;FURB;-
-48.99853;-26.874073;Anoura caudifer;FURB;-
-49.051223;-26.8561;Anoura caudifer;FURB;-
-49.188794;-26.872615;Anoura caudifer;FURB;-
-49.047826;-26.86757;Anoura caudifer;FURB;-
-48.971771;-26.904423;Anoura caudifer;FURB;-
-49.018005;-26.877489;Anoura caudifer;FURB;-
-48.968381;-26.918346;Anoura caudifer;FURB;-
-48.974377;-26.454371;Anoura caudifer;FURB;-
-48.981077;-26.443346;Anoura caudifer;FURB;-
-48.607589;-26.27853;Anoura caudifer;FURB;-
-48.536147;-27.748969;Anoura caudifer;FURB;-
-49.091614;-26.526028;Anoura caudifer;Portal_Da_Biodiversidade;128433
-48.919167;-25.439444;Anoura caudifer;Portal_Da_Biodiversidade;11520
-48.801111;-25.368611;Anoura caudifer;Portal_Da_Biodiversidade;28820
-48.547894;-25.595092;Anoura caudifer;Portal_Da_Biodiversidade;366379
-48.724881;-25.756842;Anoura caudifer;Portal_Da_Biodiversidade;366410
-48.559167;-25.593333;Anoura caudifer;Portal_Da_Biodiversidade;33060
-51.29;-25.111942;Anoura caudifer;Portal_Da_Biodiversidade;726278
-51.29;-25.111944;Anoura caudifer;Portal_Da_Biodiversidade;726279
-50.203292;-29.67925;Anoura caudifer;Portal_Da_Biodiversidade;9974
-49.202493;-27.11066;Anoura caudifer;Portal_Da_Biodiversidade;452940
-49.379038;-26.250757;Anoura caudifer;Portal_Da_Biodiversidade;525299
-48.283331;-25.15;Anoura caudifer;Portal_Da_Biodiversidade;549258
-48.524964;-26.250692;Anoura caudifer;Portal_Da_Biodiversidade;308930
-49.199722;-27.064167;Anoura caudifer;Portal_Da_Biodiversidade;735777
-49.666667;-26.7;Anoura caudifer;Portal_Da_Biodiversidade;82451
